No,ID,Fullname,Gender,Birthday,Phone,Address
1,19127005,Tran Phan Thanh Hai,Male,24/04/1998,0892735066,443B Truong Dinh P7 Q10 Thai Nguyen
2,19127009,Lu The Vu,Male,15/03/1998,0964795078,554B Phan Van Hon P. Thuong Thanh Q. Binh Thuy Ha Tinh
3,19127010,Nguyen Minh An,Male,14/03/1998,0935784418,87 Pham Van Chieu P. Dang Lam Q7 Quang Binh
4,19127038,Pham Trong Vinh Khue,Male,06/08/1998,0995116492,572 Ba Huyen Thanh Quan P. Dong Tam Q. Dong Da Kon Tum
5,19127044,Dang Le Minh,Male,30/09/1998,0844416914,328 Le Hong Phong P. Dong Hung Thuan Q. Cam Le Vinh Phuc
6,19127054,Thai Duy Nguyen,Male,30/07/1998,0976473477,904/800 Nguyen Cuu Van P. Tan Thanh Q. Binh Thanh Quang Tri
7,19127067,Hoang Nhu Thanh,Female,07/02/1998,0905806550,310 Dien Bien Phu P2 Q1 Dien Bien
8,19127078,Nguyen Do Thanh Truc,Female,20/09/1998,0948586824,458 Le Thanh Ton P16 Q9 Gia Lai
9,19127081,Tran Dai Hoang Trung,Male,21/10/1998,0942589618,594/975 Tran Xuan Soan P. Minh Khai Q9 Bac Lieu
10,19127082,Nguyen Tat Truong,Male,17/12/1998,0907573811,31Bis Le Hong Phong P. An Loi Dong Q. Hoan Kiem Can Tho
11,19127097,Nguyen Ngoc Phuong Anh,Female,21/01/1998,0961580106,89 Vo Van Ngan P27 Q. Tan Phu Son La
12,19127107,Nguyen Thu Thao Chau,Female,03/01/1998,0356629998,874E Le Hong Phong P26 Q2 Tay Ninh
13,19127109,Bui Ngoc Chinh,Male,02/02/1998,0930850784,41Bis Nguyen Cuu Van P15 Q. Nam Tu Liem Ca Mau
14,19127122,Lam Tri Duc,Male,12/10/1998,0779734265,786B Dinh Tien Hoang P20 Q1 Gia Lai
15,19127142,Tran Thai Duc Hieu,Male,18/08/1998,0935360633,99A Tran Hung �ao P1 Q. Go Vap Bac Giang
16,19127146,Le Nguyen Huy Hoang,Male,28/12/1998,0906559966,557/264 Dinh Tien Hoang P3 Q6 Binh Dinh
17,19127155,Vu Viet Hung,Male,23/05/1998,0896282485,539 Binh Quoi P4 Q. Binh Thanh Phu Tho
18,19127172,Nguyen Duy Khang,Male,26/01/1998,0830773488,492 Ly Tu Trong P13 Q10 Bac Giang
19,19127189,Ho Lam Bao Khuyen,Female,19/10/1998,0593881490,370 Xo Viet Nghe Tinh P10 Q. Dong Da Bac Ninh
20,19127191,Ngo Van Anh Kiet,Male,18/02/1998,0796705835,982 Nguyen Hue P. Du Hang Kenh Q9 Ben Tre
21,19127201,Le Quang Tan Long,Male,19/06/1998,0796752537,481 Quang Trung P13 Q. Cai Rang Dong Thap
22,19127213,Tran Hoang Minh,Male,16/11/1998,0585456647,820 Tran Binh Trong P3 Q4 Binh Duong
23,19127222,Nguyen Hieu Nghia,Male,18/10/1998,0373850584,133D Bach Dang P. Tan Chinh Q. Ba Dinh Thai Binh
24,19127242,Do Vuong Phuc,Male,16/06/1998,0363790993,993 Binh Quoi P. Phu Thuong Q. Ngu Hanh Son Ha Nam
25,19127268,Nguyen Ngoc Thanh Tam,Female,05/09/1998,0904738005,429 Yersin P. Van Mieu Q2 Bac Giang
26,19127301,Truong Minh Tri,Male,25/05/1998,0858982097,41 Su Van Hanh P. Ben Nghe Q. Tan Phu Binh Dinh
27,19127311,Tran Thanh Tung,Male,14/08/1998,0861282741,982Bis Bau Cat P. Hang Dao Q2 Lai Chau
28,19127390,Nguyen Dinh Hao,Male,16/02/1998,0981280051,504Bis Ly Chinh Thang P. Thoi Binh Q8 Bac Giang
29,19127416,Mac Van Hung,Male,02/07/1998,0846964701,476 Vo Van Ngan P13 Q. Bac Tu Liem Binh Dinh
30,19127420,Huynh Ba Huy,Male,12/10/1998,0365378965,134 Vo Thi Sau P. Khuong Dinh Q. Tay Ho Dong Thap
31,19127432,Duong Le Xuan Khang,Male,04/06/1998,0799237373,841 3 Thang 2 P24 Q4 Hau Giang
32,19127451,Lo Nguyen Anh Khoi,Male,20/04/1998,0381128475,816F Le Hong Phong P. Phuoc Binh Q. Hai Chau Ho Chi Minh
33,19127454,Van Dinh Khoi,Male,25/05/1998,0580793915,485 Tran Hung �ao P27 Q. Duong Kinh Ha Noi
